#{"t_start": 1690534340.438434, "env_id": "highway-v0"}
r,l,t
1.756182,3,1530.414787
12.088398,17,1535.325311
17.570961,23,1541.940026
12.180286,18,1547.198599
10.239862,14,1551.307421
4.547579,6,1553.037097
4.091278,6,1554.719298
22.367991,28,1562.744689
6.470333,9,1565.354063
10.33869,14,1569.380774
17.233726,22,1575.610406
11.266377,15,1579.933732
2.734178,4,1581.107069
12.058205,15,1585.363258
8.416688,11,1588.530942
4.997942,7,1590.563457
2.660715,4,1591.712662
7.547639,9,1594.275626
17.899509,24,1601.13681
27.011629,36,1611.364145
5.241718,7,1613.386195
9.911678,15,1617.763891
2.627324,4,1618.902542
17.764738,23,1625.435914
2.419254,4,1626.597868
3.292669,5,1627.991094
6.088329,8,1630.291937
0.999437,2,1630.898205
4.137892,6,1632.629078
1.97209,3,1633.505228
11.166442,14,1637.488184
11.973902,13,1641.104816
14.863902,18,1646.206888
6.171309,8,1648.557558
23.008541,29,1656.891493
12.236583,15,1661.241267
10.236587,14,1665.225601
2.422222,4,1666.455302
31.009888,40,1677.97635
2.683201,4,1679.131497
3.636031,5,1680.602124
8.060391,10,1683.510369
3.705989,5,1684.962196
6.549623,8,1687.294329
16.764568,21,1693.259042
18.325899,23,1699.868944
12.990649,18,1705.04493
23.2622,30,1713.760606
21.2841,29,1722.095083
9.12896,11,1725.309751
6.617768,8,1727.597268
8.293047,12,1731.064104
25.410435,33,1740.622271
2.105989,3,1741.489483
9.039097,13,1745.176006
2.005735,3,1746.072448
7.531763,9,1748.722311
2.664512,4,1749.878016
1.067582,2,1750.504001
3.821422,6,1752.312393
8.842356,12,1755.808189
3.975824,6,1757.548055
9.237769,11,1760.683506
4.048768,6,1762.455607
9.191495,11,1765.708359
1.8,3,1766.627208
2.681714,4,1767.808973
3.65882,5,1781.892529
18.259083,24,1788.807324
2.999294,5,1790.292113
7.538455,11,1793.446228
13.263701,19,1799.012814
6.795818,9,1801.642139
6.243607,9,1804.240457
18.055315,24,1811.109049
4.708147,7,1813.112205
1.70779,3,1814.028382
31.314737,36,1824.453753
7.772082,10,1827.233051
8.772638,12,1830.724422
7.069185,10,1833.642311
6.462627,9,1836.302813
12.867828,19,1841.675237
23.099511,28,1849.672416
2.595534,4,1850.923397
15.90111,21,1856.891085
3.798099,5,1858.342983
10.399922,13,1862.00737
18.815591,27,1869.752367
9.193996,11,1872.903089
2.754993,4,1874.049855
4.091344,6,1875.756864
14.458008,19,1881.104286
7.425827,9,1883.829464
9.687952,13,1887.53957
7.915655,12,1890.898802
9.668628,11,1894.000813
9.814718,14,1897.94079
15.885609,20,1903.716502
29.083206,40,1915.018631
15.65874,21,1921.175307
9.464399,12,1924.562613
8.236374,11,1927.697343
4.636066,6,1929.384013
4.08739,6,1931.078592
1.164238,2,1931.658967
7.669154,11,1934.883664
32.632392,40,1946.222951
8.777783,10,1948.989402
4.704641,6,1950.71369
14.591047,20,1956.511099
14.462636,19,1962.100016
29.618932,40,1973.48331
6.794166,8,1975.747684
9.837851,12,1979.374067
4.732175,6,1981.134126
29.798827,40,1992.567297
9.43769,12,1995.961165
4.111927,5,1997.377925
4.94989,7,1999.336855
5.577234,8,2001.743229
11.808381,16,2006.356313
4.974021,7,2008.37343
16.188084,21,2014.350226
2.642095,4,2015.487918
14.253803,19,2020.989873
6.112779,9,2023.600725
3.643256,5,2025.12554
16.643426,24,2032.043741
9.542124,12,2035.550489
9.771943,11,2038.693794
7.589623,9,2041.340329
22.013466,29,2049.723393
0.93277,2,2050.340075
6.082414,8,2052.610539
3.888183,6,2054.365207
14.510874,20,2060.108853
19.950393,27,2067.859862
16.607139,21,2074.007632
13.479237,18,2079.304775
5.771279,7,2081.368629
3.265168,5,2082.84217
6.340483,9,2085.399479
4.947829,6,2087.135285
21.510758,28,2095.493472
20.305008,29,2103.953566
1.708385,3,2104.863873
3.814336,5,2106.354747
18.861015,26,2114.065434
16.585739,19,2119.595302
2.971422,4,2120.7673
8.037116,10,2123.689189
2.860979,4,2124.854993
24.114221,31,2133.854406
7.864626,10,2136.741348
8.980633,13,2140.417509
8.104222,11,2143.726457
5.156008,7,2145.710184
5.457994,7,2147.72117
6.23921,9,2150.344788
25.385348,33,2159.845648
16.148211,22,2166.169184
4.710325,7,2168.152584
28.973854,40,2179.561498
12.150827,15,2183.737044
9.303769,12,2187.195938
0.954993,2,2187.794331
10.505329,14,2191.699433
27.370865,36,2202.161169
23.230574,31,2210.956347
6.134698,9,2213.631691
17.279009,23,2235.630271
1.043882,2,2236.195666
6.292876,9,2238.738162
3.112919,4,2239.906681
8.190674,10,2242.738541
8.333141,11,2245.915863
9.260646,13,2249.668451
31.10174,40,2261.121023
9.952048,12,2264.683283
14.309474,17,2269.590585
14.844937,18,2274.837574
23.61607,33,2284.390983
2.112913,3,2285.306142
8.060307,10,2288.1083
23.623976,31,2297.172138
4.448992,7,2299.27006
9.600287,12,2302.763322
7.686164,10,2305.609481
13.535834,20,2311.326085
3.33196,5,2312.723015
2.959173,5,2314.194408
11.038271,14,2318.287249
1.023137,2,2318.900716
13.540424,17,2323.716199
3.749082,5,2325.167724
30.432675,40,2336.82173
19.670348,23,2343.340291
4.53347,7,2345.335631
21.93028,27,2353.116231
4.926841,6,2354.820818
16.068027,20,2360.610047
1.023137,2,2361.229817
1.995543,3,2362.075375
13.145088,17,2366.999098
20.586693,29,2375.448376
7.773082,9,2378.071553
10.483279,14,2382.015429
12.167795,16,2386.585129
8.503679,10,2389.588577
6.843926,8,2391.886196
8.612445,12,2395.315778
12.41803,16,2399.823887
4.183203,5,2401.288883
13.482269,17,2406.24434
14.215825,19,2411.709989
14.574628,20,2417.359887
6.863026,10,2420.203429
4.753268,6,2421.988489
18.891107,26,2429.442754
17.191162,24,2436.302594
4.510301,6,2438.085094
6.376146,8,2440.454437
4.672394,7,2442.485065
18.672933,25,2449.735603
6.134975,8,2452.03118
3.48739,5,2453.536365
27.442121,36,2463.92212
4.159316,6,2465.629406
1.905423,3,2466.481969
9.966101,13,2470.175023
3.491228,5,2471.6449
14.596976,19,2477.127698
5.217989,7,2479.109838
6.237016,8,2481.345942
14.929044,20,2486.930754
27.16362,35,2496.872806
24.298301,31,2505.572987
16.04177,21,2511.618243
1.173321,2,2512.232671
18.706154,24,2519.092102
4.613698,6,2520.82569
14.883536,19,2526.244188
5.024861,8,2528.53056
8.571465,12,2531.901526
8.640371,12,2535.329547
14.843098,17,2540.188196
7.239771,9,2542.754231
10.681505,14,2546.713589
25.185492,33,2555.98697
13.238309,18,2561.172376
4.377778,6,2562.871491
5.682963,8,2565.131681
25.519683,32,2574.403239
3.509655,5,2575.913587
9.440387,12,2579.408782
1.910844,3,2580.324462
10.349831,13,2584.106417
15.108653,21,2590.111704
4.240015,6,2591.925567
8.133418,12,2595.472281
4.753268,6,2597.185092
28.304507,38,2608.153346
4.663088,6,2610.030901
12.81648,17,2614.977451
1.777778,3,2615.836092
24.970356,33,2625.311336
3.946617,5,2626.761959
8.241847,12,2630.210906
2.039988,3,2631.075513
3.758144,6,2632.783202
2.599335,4,2633.957572
5.288539,8,2636.309897
2.644444,4,2637.508013
15.396897,20,2643.32415
19.262293,25,2650.486973
1.907217,3,2651.396258
6.509883,8,2653.705869
1.751662,3,2654.552745
2.55226,4,2655.661916
6.696189,8,2657.981765
12.816802,15,2674.790424
3.315539,5,2676.197765
7.081697,9,2678.725403
21.304237,30,2687.305193
20.596873,29,2695.444769
4.644311,6,2697.149279
2.660715,4,2698.329931
2.039988,3,2699.213568
6.30339,8,2701.512532
5.19239,7,2703.518824
1.173321,2,2704.093541
22.036464,26,2711.504308
14.813248,17,2716.354473
1.131275,2,2716.934575
3.887547,5,2718.406471
8.56933,11,2721.559255
1.891228,3,2722.419531
15.911913,22,2728.886081
14.372258,19,2734.275622
2.510548,4,2735.435248
3.463827,5,2736.868591
1.818329,3,2737.744159
19.511815,25,2744.952223
6.392437,8,2747.304497
14.083324,16,2751.945767
5.421119,7,2753.963857
15.727963,21,2760.130379
32.381075,40,2771.721107
2.770587,4,2772.892598
5.413134,7,2774.895562
3.533333,5,2776.307609
17.456797,21,2782.28543
19.443105,26,2789.649587
9.686399,12,2793.046124
21.968692,26,2800.444065
22.012603,28,2808.464132
7.322695,9,2811.038888
7.546141,9,2813.558703
5.334809,8,2815.815204
10.868006,16,2820.307752
6.016273,8,2822.632162
4.81326,6,2824.40531
13.094242,17,2829.188581
5.11292,6,2830.876696
