#{"t_start": 1690543213.0310707, "env_id": "highway-v0"}
r,l,t
29.760815,40,3538.486092
27.336674,40,3550.053548
29.31637,40,3561.55388
28.871363,40,3572.99053
21.914048,30,3581.661739
28.470034,40,3593.050866
27.781035,40,3604.576873
5.04296,7,3606.630884
27.514868,40,3618.131311
27.313723,40,3629.655991
9.738479,14,3633.674566
11.845133,16,3638.301904
6.73779,9,3640.82031
5.464832,8,3643.076698
29.071907,40,3654.708278
28.912684,40,3666.646868
28.83863,40,3678.098096
27.42598,40,3689.706469
29.575468,40,3701.362499
28.514346,40,3712.728634
27.160815,40,3724.244608
27.047793,40,3735.928423
29.559883,40,3747.554501
27.343901,37,3758.424201
28.328996,40,3770.170139
30.64592,40,3781.736828
27.183037,40,3793.529806
27.227478,40,3805.032285
20.732989,30,3813.731455
29.692649,40,3825.253663
28.400563,40,3836.847447
23.445191,34,3904.245415
29.360815,40,3915.652051
29.668052,40,3927.204682
27.849704,40,3938.600331
27.712852,40,3950.038195
28.514028,40,3961.824326
25.582474,36,3972.304223
28.953323,40,3985.668028
29.62595,40,3997.326962
14.178364,21,4003.431959
29.491783,40,4015.121464
20.155075,29,4023.603181
28.153268,40,4035.195869
29.537093,40,4046.865431
27.136701,40,4058.50978
27.294011,40,4069.94625
18.049007,27,4077.706181
4.99486,7,4079.708919
30.492094,40,4091.193122
26.937204,40,4102.810761
4.938569,8,4105.09254
29.157418,40,4116.727771
27.182903,40,4128.259651
16.218018,24,4135.286185
25.577362,35,4145.448711
29.40524,40,4157.098847
29.159548,40,4168.618104
29.492256,40,4180.275077
7.041465,9,4182.869164
2.960678,5,4184.403813
26.493452,38,4195.578473
28.069028,40,4207.42196
8.581145,13,4211.176192
28.938573,40,4222.956401
29.782345,40,4234.713035
28.360791,40,4246.442786
29.870572,40,4258.223947
27.360814,40,4269.832685
29.825981,40,4281.403108
29.489624,40,4293.036533
29.200023,40,4304.638212
21.738007,32,4314.136686
28.383037,40,4325.753699
28.53638,40,4394.82427
29.758923,40,4406.615741
30.291937,40,4418.398174
28.336697,40,4430.074866
27.227481,40,4441.947539
29.449704,40,4453.577059
29.027368,40,4465.451429
28.395719,40,4477.184074
30.112867,40,4488.877885
29.179905,40,4500.654944
27.936701,39,4512.033398
2.069897,4,4513.180708
29.271926,40,4524.727174
30.538579,40,4536.347397
29.227481,40,4547.902509
26.960815,40,4559.418655
29.360545,40,4571.030561
27.049704,40,4582.591825
28.783036,40,4594.160849
28.093585,40,4605.642886
28.246443,40,4617.224684
29.760815,40,4628.77078
27.427481,40,4642.241514
28.892253,40,4653.576406
27.334585,40,4665.146868
29.494148,40,4676.618633
29.292098,40,4688.122394
3.136286,5,4689.526714
27.60363,40,4701.151407
12.622851,18,4706.398818
29.825953,40,4718.139854
29.870034,40,4729.664517
27.894106,40,4741.463801
26.916237,40,4753.240474
29.910343,40,4764.853848
29.160811,40,4776.548956
27.271926,40,4788.222563
29.183034,40,4799.854595
28.80457,40,4811.500226
29.605251,40,4823.190992
9.292535,13,4826.957495
26.805259,40,4897.00453
27.846811,40,4908.514697
30.24281,40,4920.198422
27.094144,40,4931.914483
29.803363,40,4943.338128
29.776364,40,4954.53628
28.938589,40,4966.099215
30.560811,40,4977.490508
29.730744,40,4988.74502
27.671344,40,5000.106907
30.090208,40,5011.671944
28.423021,40,5023.344693
29.11637,40,5035.156407
28.9829,40,5047.006712
29.64968,40,5058.630103
29.26667,40,5070.137774
14.22559,20,5076.098855
28.627368,40,5087.567123
29.869182,40,5099.321479
28.603363,40,5110.913689
28.360815,40,5122.435608
28.160815,40,5134.130622
27.316366,40,5145.869928
28.471925,40,5157.358842
28.960815,40,5169.000906
28.071348,40,5180.619943
28.270424,40,5192.203192
28.293483,40,5203.874282
29.205259,40,5215.622009
27.427481,40,5227.098908
29.114866,40,5238.687712
26.849704,40,5250.162929
28.138589,40,5261.423442
26.938592,40,5272.860662
28.271906,40,5284.416429
27.205236,40,5297.801087
6.203735,9,5300.39179
27.78303,40,5312.004997
28.380559,40,5323.577477
29.514843,40,5393.813184
29.005259,40,5405.559549
27.489775,40,5417.239584
26.894148,40,5428.81074
27.427477,40,5440.34751
29.315682,40,5451.601433
29.625982,40,5463.095132
12.703819,17,5467.98146
27.605259,40,5479.384275
17.071926,24,5486.411027
2.071123,4,5487.572164
29.316219,40,5499.021238
27.315662,40,5510.380164
26.714479,40,5521.935081
27.60524,40,5533.267413
30.114169,40,5544.694046
26.93803,40,5556.231486
26.827481,40,5567.756361
9.11637,14,5571.905684
29.377525,40,5583.300071
9.51637,14,5587.392898
28.958625,40,5598.797206
29.360125,40,5610.359332
29.379018,40,5621.971322
29.894148,40,5633.343233
27.094034,40,5644.926602
27.916237,40,5656.670752
27.956029,40,5668.26164
29.405236,40,5680.054654
29.494148,40,5691.689492
27.469733,40,5703.33952
29.290254,40,5715.006935
30.002975,40,5726.807808
26.694148,40,5738.527092
6.892626,10,5741.529315
28.071926,40,5753.204077
29.271926,40,5764.805198
28.092645,40,5776.321876
29.227481,40,5787.794349
27.64627,40,5799.438177
29.738589,40,5811.081509
27.205258,40,5880.15911
29.314732,40,5891.643754
28.645898,40,5903.291063
29.649015,40,5914.909594
27.160703,40,5926.434664
27.846437,40,5938.141235
29.471926,40,5949.846053
28.222908,40,5961.38627
29.291955,40,5973.052656
29.225571,40,5984.719987
29.160678,40,5996.514955
27.093483,40,6009.662931
28.005259,40,6021.419959
29.31637,40,6033.154776
29.049681,40,6044.825984
29.271926,40,6056.654319
28.271907,40,6068.189018
29.470401,40,6079.711207
4.360814,7,6081.840709
29.338592,40,6093.623547
23.694148,33,6103.20884
26.823588,40,6114.718328
29.426914,40,6126.402763
27.360792,40,6137.935463
29.183021,40,6149.468389
3.293232,5,6150.957006
29.402637,40,6162.513848
27.493459,40,6173.951552
27.160815,40,6185.39997
26.849038,40,6196.981399
29.736154,40,6208.479517
28.758904,40,6219.999274
27.003364,40,6231.559442
3.048901,5,6232.967324
26.981533,40,6244.759532
27.094148,40,6256.431494
29.31637,40,6268.048753
27.004684,40,6279.878308
27.694125,40,6291.608255
27.249703,40,6303.347538
27.471926,40,6373.199098
29.760815,40,6384.819599
26.694148,40,6396.560518
29.603068,40,6408.26703
29.04514,40,6419.835395
28.738016,40,6431.407703
29.026887,40,6443.07707
28.245327,40,6454.478034
28.960811,40,6466.061221
29.249681,40,6477.591947
27.138459,40,6489.053028
2.734604,4,6490.205034
29.071926,40,6501.880935
28.91637,40,6513.512468
29.427234,40,6525.128995
27.627481,40,6536.654543
29.227469,40,6548.233961
28.849015,40,6559.954929
28.783037,40,6571.508209
29.383021,40,6583.377375
13.383037,21,6589.317217
29.36081,40,6600.591186
28.981126,40,6611.79353
28.805259,40,6623.253559
29.205258,40,6634.817967
28.270034,40,6646.492704
27.960791,40,6660.024896
27.160815,40,6671.677936
28.936701,40,6683.432828
29.627481,40,6694.892651
27.227481,40,6706.513824
27.605259,40,6718.295765
29.360815,40,6729.781892
29.049704,40,6741.335919
26.738592,40,6752.89071
27.870288,40,6764.340763
29.160815,40,6776.006845
26.694148,40,6787.560777
29.360815,40,6799.079295
26.694148,40,6868.128665
28.71637,40,6879.811172
26.827481,40,6891.440279
28.249704,40,6902.991318
27.583037,40,6914.57369
29.494034,40,6926.349494
26.694148,40,6937.985201
26.849704,40,6949.612874
26.960036,40,6961.138969
29.360815,40,6972.884353
27.294148,40,6984.488261
27.094148,40,6996.008763
27.603755,40,7007.582186
29.449704,40,7019.13313
27.160815,40,7030.704539
26.960815,40,7042.129545
26.960815,40,7053.709835
26.960815,40,7065.343818
29.115681,40,7076.743663
29.138592,40,7088.194237
27.538592,40,7099.735112
6.338592,9,7102.247851
27.760123,40,7113.748727
29.294148,40,7125.127155
29.449704,40,7136.530386
29.535328,40,7148.123236
26.960815,40,7159.744991
29.294015,40,7171.173117
27.11637,40,7182.71093
27.116237,40,7194.251554
28.158376,40,7205.786778
27.334699,40,7217.320199
29.760815,40,7229.027233
29.114866,40,7240.535264
29.360815,40,7252.239591
28.892256,40,7263.885712
1.15647,2,7264.476621
28.894133,40,7275.957269
26.847142,40,7287.814541
28.338592,40,7356.901716
29.049704,40,7370.329733
28.960126,40,7381.943277
27.360811,40,7393.592501
29.580757,40,7405.159827
27.160811,40,7416.691698
29.494148,40,7428.342216
29.360815,40,7439.865334
1.839988,3,7440.782329
26.694148,40,7452.208632
29.426816,40,7463.720233
28.338592,40,7475.280981
27.160815,40,7486.798908
28.249704,40,7498.308885
27.205255,40,7510.033229
27.805015,40,7521.696745
29.138592,40,7533.229586
27.11637,40,7544.945083
26.760681,40,7556.6711
28.983037,40,7568.21358
26.960126,40,7579.830473
26.760681,40,7591.523404
28.849704,40,7603.130755
27.049681,40,7614.895551
26.871926,40,7626.48998
27.225844,40,7638.134208
26.694148,40,7649.598402
27.160815,40,7661.205876
27.094148,40,7672.762858
26.694148,40,7684.263565
29.360815,40,7695.588582
26.714479,40,7706.897994
29.405236,40,7718.163319
23.514866,36,7728.61068
29.51637,40,7740.012071
27.183037,40,7751.50956
28.338592,40,7762.898728
27.027481,40,7774.441491
28.337088,40,7786.085649
28.027481,40,7855.533494
28.738592,40,7866.898188
29.360815,40,7878.565959
28.11637,40,7889.981905
28.91637,40,7901.538674
28.738577,40,7913.078551
27.071926,40,7924.833322
26.983037,40,7936.422406
29.2497,40,7947.907687
26.737904,40,7959.473679
27.090254,40,7970.987088
29.249567,40,7982.391946
29.138592,40,7994.00316
29.048905,40,8005.380452
26.983037,40,8018.566221
28.071147,40,8030.035116
29.360815,40,8041.486002
29.160815,40,8052.874722
29.360815,40,8064.267714
28.871792,40,8075.724216
29.271815,40,8087.142327
26.760815,40,8098.777905
29.005259,40,8110.30865
26.694148,40,8121.971432
27.248202,40,8133.620562
27.383037,40,8145.370657
29.493483,40,8156.904727
28.738592,40,8168.547836
29.092611,40,8180.268761
29.227481,40,8191.902843
27.249703,40,8203.592641
29.494148,40,8215.086329
29.227462,40,8226.722586
28.71637,40,8238.207837
29.292644,40,8249.854861
29.183037,40,8261.412667
29.360815,40,8272.940401
28.983037,40,8339.145341
28.960792,40,8350.477621
29.183037,40,8361.986307
28.292256,40,8373.414279
15.160815,21,8379.423795
26.827481,40,8390.85046
9.338592,14,8394.796267
14.31637,21,8400.887587
29.494148,40,8412.264445
27.227478,40,8423.87863
28.383037,40,8435.56105
27.271926,40,8447.010842
28.249704,40,8458.532376
29.205259,40,8470.209403
27.11637,40,8481.667593
26.938592,40,8493.399502
27.049704,40,8504.982041
29.360811,40,8516.492605
29.160815,40,8528.11965
27.827481,40,8539.745783
26.783037,40,8551.325093
29.35931,40,8562.750563
27.227481,40,8574.248353
29.027481,40,8585.859843
28.605259,40,8597.544145
26.960815,40,8609.13033
28.91637,40,8620.689207
2.916347,5,8622.15887
27.493459,40,8633.612311
28.649704,40,8644.917615
29.623588,40,8656.269525
29.759316,40,8669.193459
27.094148,40,8680.715236
29.360815,40,8692.123776
27.294148,40,8703.529067
27.626906,40,8715.078195
27.027481,40,8726.540326
29.492644,40,8738.021567
27.871925,40,8749.81713
26.760681,40,8761.455325
28.938592,40,8831.300807
29.227481,40,8842.923666
29.360815,40,8854.407125
27.716367,40,8866.016529
27.049704,40,8877.592867
29.956008,40,8889.203294
27.11637,40,8900.922132
25.449704,36,8911.352042
29.00457,40,8922.919579
26.871789,40,8934.522306
27.738592,40,8945.978585
26.827481,40,8957.422519
29.049704,40,8968.945637
28.00457,40,8980.478302
27.538592,40,8992.007079
28.938592,40,9003.739121
29.352274,40,9015.293146
29.579679,40,9026.585964
29.426793,40,9037.8927
29.205259,40,9049.179506
28.027481,40,9060.451049
29.360815,40,9072.100398
29.116366,40,9083.434133
10.271903,15,9087.741415
8.183037,13,9091.507471
11.738569,17,9096.326053
26.694148,40,9107.713325
28.603755,40,9119.501493
29.494148,40,9131.176389
28.405259,40,9142.807635
29.31637,40,9154.480705
26.694148,40,9165.864208
28.938592,40,9177.246298
28.671922,40,9188.826862
26.960815,40,9200.386512
29.894148,40,9211.994195
27.738592,40,9223.667445
27.160815,40,9235.256995
28.049681,40,9246.904227
26.960681,40,9258.482883
29.027481,40,9327.739348
27.2497,40,9339.105851
29.227481,40,9350.38033
29.338592,40,9361.936066
28.783037,40,9375.211095
26.916367,40,9386.833661
28.271926,40,9398.405276
27.849704,40,9409.817413
7.0497,11,9413.051529
27.160149,40,9424.969214
27.005259,40,9436.628508
26.827481,40,9448.274904
27.138592,40,9460.14083
27.383014,40,9471.884945
29.360815,40,9483.65437
27.292256,40,9495.562287
29.405259,40,9507.41081
29.005259,40,9519.253238
27.916362,40,9531.035931
27.671351,40,9542.938647
28.425312,40,9554.884242
26.871237,40,9566.74965
27.049704,40,9578.663645
26.938459,40,9590.440912
29.094148,40,9602.220197
29.471926,40,9614.075502
29.494148,40,9626.005871
28.427481,40,9637.969397
29.494148,40,9650.146954
29.205259,40,9662.142334
27.249038,40,9673.926219
29.360815,40,9685.59931
29.383033,40,9697.480994
6.160815,10,9700.474116
28.205259,40,9712.357522
29.271903,40,9724.342836
29.360799,40,9736.402844
29.31637,40,9748.437073
27.160815,40,9760.37646
27.227481,40,9832.57264
26.827481,40,9844.634929
26.938592,40,9856.441353
10.849704,17,9861.548352
27.11637,40,9873.574853
26.827481,40,9885.220688
29.249704,40,9897.102853
28.049665,40,9909.003094
29.494148,40,9920.756561
29.027481,40,9931.936765
26.694148,40,9943.207855
27.071926,40,9954.558316
29.494148,40,9965.919272
26.805259,40,9977.289438
28.360815,40,9988.693325
28.783037,40,10000.331292
29.492644,40,10011.883054
26.894148,40,10023.641325
